model_rank,model_id,model_status,exclusion_reason,variable_1,test_type_1,test_statistic_1,p_value_1,variable_2,test_type_2,test_statistic_2,p_value_2,variable_3,test_type_3,test_statistic_3,p_value_3,variable_4,test_type_4,test_statistic_4,p_value_4,r_squared,adjusted_r_squared,RMSE,MAE,spearman,f_statistics,f_p_value,aic,aicc,bic,vif,max_vif,mean_vif,condition_number,max_cooks_distance,sign_check,sign_failures,n_observations,n_original_variables,n_parameters,price_included,demand_supply_included,market_speed_included,family_coverage,families_included,sign_rank,vif_rank
2611,5070,VALID,,MEDIAN_LIST_PPSF_YOY,t,-0.28257672795341654,0.7782403697548941,AVG_SALE_TO_LIST,t,4.752845617981393,8.848300924933778e-06,SOLD_ABOVE_LIST_YOY,t,-2.760089858291291,0.007180389891763349,,,,,0.277913810853327,0.25049281632876985,13.98258642781103,11.127548950647364,0.47179833059926013,10.135074079987795,1.0101539845876544e-05,681.4207094987522,681.9335300115728,691.0960719299386,1.0441608591666613,1.0441608591666613,1.0295374271405848,82.4035517604292,1.11234587847768,FAIL,"MEDIAN_LIST_PPSF_YOY, SOLD_ABOVE_LIST_YOY",83,3,4,1,0,1,2,"price, market_speed",2,0
2612,2917,VALID,,MEDIAN_LIST_PRICE_YOY,t,1.2321036038228086,0.22156500554139916,NEW_LISTINGS,t,1.0350307444655584,0.3038125383165065,SOLD_ABOVE_LIST,t,5.194057758246203,1.5651377290056247e-06,,,,,0.27777560951654445,0.25034936683995757,13.983924439610703,10.922672162237244,0.5160789733656592,10.128095663416351,1.0175864254560145e-05,681.4365934937181,681.9494140065386,691.1119559249045,1.0134962881210645,1.0134962881210645,1.0091393559508806,709.0967328319067,0.6276800967350394,PASS,,83,3,4,1,1,1,3,"price, demand_supply, market_speed",0,0
2613,5846,VALID,,PENDING_SALES,t,2.339082278697213,0.02185902649832946,NEW_LISTINGS_YOY,t,-1.1471951329538803,0.25476345924994703,AVG_SALE_TO_LIST,t,3.70810657311625,0.000386268838206391,,,,,0.27754552040507463,0.2501105401672926,13.986151789287286,11.261140760999288,0.5108497203190225,10.116483336221028,1.0300785393918714e-05,681.4630317518099,681.9758522646305,691.1383941829963,1.120348685398797,1.120348685398797,1.0966571492898989,4535.2412852309035,0.583798924173528,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
2614,495,VALID,,MEDIAN_SALE_PRICE,t,-1.3788663574370152,0.17182769357549868,MEDIAN_DOM_MOM,t,2.4644888187285043,0.015891380885997928,AVG_SALE_TO_LIST,t,4.987609159253965,3.551007660580493e-06,,,,,0.27745110097389625,0.25001253518809485,13.98706570247451,11.051946752244362,0.48188931890813114,10.11172023857998,1.0352477904616793e-05,681.4738785261702,681.9866990389908,691.1492409573566,1.036232581538218,1.036232581538218,1.0273854600310648,71927393.20855764,0.4977898544128829,FAIL,MEDIAN_DOM_MOM,83,3,4,1,0,1,2,"price, market_speed",2,0
2615,2082,VALID,,MEDIAN_LIST_PRICE,t,-1.3775899846694448,0.17222014931977103,MEDIAN_DOM_MOM,t,2.5023330702117508,0.014402540164192922,AVG_SALE_TO_LIST,t,4.93463271058967,4.371233390881385e-06,,,,,0.27741967712143134,0.24997991802477681,13.987369849855368,11.041457652919124,0.48762259634480515,10.11013530199887,1.0369737561149605e-05,681.4774881407507,681.9903086535712,691.152850571937,1.04169400112533,1.04169400112533,1.0351081735479515,73745367.2208777,0.5552861141258649,FAIL,MEDIAN_DOM_MOM,83,3,4,1,0,1,2,"price, market_speed",2,0
2616,6396,VALID,,NEW_LISTINGS,t,-0.12870002911290007,0.897922099253414,AVG_SALE_TO_LIST,t,4.750734592010926,8.920395015061865e-06,SOLD_ABOVE_LIST_YOY,t,-2.6861893259236456,0.008806632179848109,,,,,0.2773354779163486,0.2498925213815264,13.988184770410518,11.10970888071052,0.47324740072061716,10.105889194717022,1.041612212359477e-05,681.4871592135162,681.9999797263367,691.1625216447026,1.0983371266075355,1.0983371266075355,1.0658254916880745,5651.049051497401,0.6864352215853944,FAIL,SOLD_ABOVE_LIST_YOY,83,3,4,0,1,1,2,"demand_supply, market_speed",2,0
2617,2571,VALID,,MEDIAN_LIST_PRICE_MOM,t,0.1280934957253307,0.89840050422876,AVG_SALE_TO_LIST,t,4.599501616577445,1.5880072227782312e-05,SOLD_ABOVE_LIST_YOY,t,-2.5759747675427773,0.011859722315933912,,,,,0.2773340534302001,0.2498910428009672,13.988198556866768,11.11667641962632,0.476450055698979,10.1058173673838,1.0416908590450107e-05,681.4873228194913,682.0001433323118,691.1626852506777,1.172421143134847,1.172421143134847,1.115432099717995,83.82883097602695,0.5189877748563811,FAIL,SOLD_ABOVE_LIST_YOY,83,3,4,1,0,1,2,"price, market_speed",2,0
2618,6276,VALID,,PENDING_SALES_YOY,t,0.06820334126563135,0.9457960982024398,AVG_SALE_TO_LIST,t,4.709066984236218,1.0466210900588383e-05,SOLD_ABOVE_LIST_YOY,t,-2.7193056712829824,0.008040340364216993,,,,,0.2772265174835783,0.24977942321080282,13.989239271615709,11.12377370945295,0.4709582899491979,10.10039586443788,1.0476446584249022e-05,681.499672674361,682.0124931871816,691.1750351055474,1.0561549919077555,1.0561549919077555,1.0373489766795212,82.34065820553303,0.5619864411782418,FAIL,SOLD_ABOVE_LIST_YOY,83,3,4,0,1,1,2,"demand_supply, market_speed",2,0
2619,3036,VALID,,MEDIAN_LIST_PRICE_YOY,t,0.011300374698181945,0.9910122862400921,AVG_SALE_TO_LIST,t,4.712603507716404,1.0325480743379587e-05,SOLD_ABOVE_LIST_YOY,t,-2.673695348410301,0.00911260605766678,,,,,0.27718512735709977,0.24973646130736937,13.989639817642638,11.12430993483384,0.47045426555916064,10.098309581052389,1.0499450466891391e-05,681.5044255910352,682.0172461038558,691.1797880222216,1.0858714505489881,1.0858714505489881,1.0575067487625003,81.98137149689123,1.2833234855098288,FAIL,SOLD_ABOVE_LIST_YOY,83,3,4,1,0,1,2,"price, market_speed",2,0
2620,3059,VALID,,MEDIAN_LIST_PRICE_YOY,t,1.3866941329174012,0.16943573363350373,SOLD_ABOVE_LIST,t,5.293242715530673,1.0505273647338118e-06,OFF_MARKET_IN_TWO_WEEKS_MOM,t,-0.9833863327902237,0.3284195114134205,,,,,0.27683416370101055,0.24937216991750466,13.9930357489327,10.963482981433215,0.5149659195043269,10.08062873669723,1.0696491182522629e-05,681.5447165628957,682.0575370757163,691.2200789940821,1.014041842577432,1.014041842577432,1.0094927119469133,15.270360823519782,0.5794127210065072,FAIL,OFF_MARKET_IN_TWO_WEEKS_MOM,83,3,4,1,0,1,2,"price, market_speed",2,0
